id,category_id,size_id,created_at,updated_at
1,14,1,2019-03-21 17:00:00,2019-03-21 17:00:00
2,15,1,2019-03-21 17:00:00,2019-03-21 17:00:00
3,36,2,2019-03-21 17:00:00,2019-03-21 17:00:00
4,16,1,2019-03-21 17:00:00,2019-03-21 17:00:00
5,17,1,2019-03-21 17:00:00,2019-03-21 17:00:00
6,18,1,2019-03-21 17:00:00,2019-03-21 17:00:00
7,19,3,2019-03-21 17:00:00,2019-03-21 17:00:00
8,20,1,2019-03-21 17:00:00,2019-03-21 17:00:00
9,21,1,2019-03-21 17:00:00,2019-03-21 17:00:00
10,29,1,2019-03-21 17:00:00,2019-03-21 17:00:00
11,30,1,2019-03-21 17:00:00,2019-03-21 17:00:00
12,31,1,2019-03-21 17:00:00,2019-03-21 17:00:00
13,33,1,2019-03-21 17:00:00,2019-03-21 17:00:00
14,34,1,2019-03-21 17:00:00,2019-03-21 17:00:00
15,35,1,2019-03-21 17:00:00,2019-03-21 17:00:00
16,38,1,2019-03-21 17:00:00,2019-03-21 17:00:00
17,43,1,2019-03-21 17:00:00,2019-03-21 17:00:00
18,44,1,2019-03-21 17:00:00,2019-03-21 17:00:00
19,45,1,2019-03-21 17:00:00,2019-03-21 17:00:00